feature_name,data_type,role,provenance_category,directly_reproducible,requires_raw_url,requires_reference_corpus,requires_webpage_content,requires_network_access,included_in_deployment_model,confidence,evidence_or_reason
NoOfPopup,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage behavior or script/content inspection."
NoOfiFrame,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage HTML inspection."
HasExternalFormSubmit,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage form inspection."
HasSocialNet,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage link/content inspection."
HasSubmitButton,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage form/content inspection."
HasHiddenFields,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage form/content inspection."
HasPasswordField,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage form/content inspection."
Bank,int64,feature,E uncertain/needs verification,false,true,false,true,true,false,low,"Keyword indicator could be URL text, webpage content, or both; available documentation does not specify source."
Pay,int64,feature,E uncertain/needs verification,false,true,false,true,true,false,low,"Keyword indicator could be URL text, webpage content, or both; available documentation does not specify source."
Crypto,int64,feature,E uncertain/needs verification,false,true,false,true,true,false,low,"Keyword indicator could be URL text, webpage content, or both; available documentation does not specify source."
HasCopyrightInfo,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage footer/text/content inspection."
NoOfImage,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage HTML/resource inspection."
NoOfCSS,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage HTML/resource inspection."
NoOfJS,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage HTML/resource inspection."
NoOfSelfRef,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage link analysis."
NoOfEmptyRef,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage link analysis."
NoOfExternalRef,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage link analysis."
label,int64,target,A identifier/label/non-model,false,false,false,false,false,false,high,"Target label; not an inference-time feature."
